baiping-2021-11-01 09:33:23,773-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-11-01 09:33:53,534-INFO-点击按钮://*[@id="Bar_panel0_b1"]/img
baiping-2021-11-01 09:33:53,634-INFO-切换frame:main
baiping-2021-11-01 09:33:58,773-INFO-输入内容:c004
baiping-2021-11-01 09:33:58,846-INFO-输入内容:
baiping-2021-11-01 09:33:58,893-INFO-输入内容:
baiping-2021-11-01 09:33:58,942-INFO-输入内容:
baiping-2021-11-01 09:33:58,992-INFO-输入内容:
baiping-2021-11-01 09:33:59,041-INFO-输入内容:
baiping-2021-11-01 09:33:59,089-INFO-点击按钮:/html/body/center/form/table[3]/tbody/tr/td/input
baiping-2021-11-01 09:33:59,267-INFO-获取页面文本内容:c004
baiping-2021-11-01 09:33:59,290-INFO-获取页面文本内容:mike
baiping-2021-11-01 09:33:59,313-INFO-获取页面文本内容:
baiping-2021-11-01 09:33:59,336-INFO-获取页面文本内容:
baiping-2021-11-01 09:33:59,359-INFO-获取页面文本内容:
baiping-2021-11-01 09:33:59,381-INFO-获取页面文本内容:
baiping-2021-11-01 10:21:19,288-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-11-01 10:21:19,386-INFO-输入用户名:admin
baiping-2021-11-01 10:21:19,388-INFO-输入内容:admin
baiping-2021-11-01 10:21:19,454-INFO-输入密码:admin
baiping-2021-11-01 10:21:19,454-INFO-输入内容:admin
baiping-2021-11-01 10:21:19,522-INFO-提交
baiping-2021-11-01 10:21:19,522-INFO-点击按钮:submit
baiping-2021-11-01 10:21:19,701-INFO-切换frame:Links
baiping-2021-11-01 10:29:44,286-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-11-01 10:29:44,385-INFO-输入用户名:admin
baiping-2021-11-01 10:29:44,386-INFO-输入内容:admin
baiping-2021-11-01 10:29:44,451-INFO-输入密码:admin
baiping-2021-11-01 10:29:44,452-INFO-输入内容:admin
baiping-2021-11-01 10:29:44,509-INFO-提交
baiping-2021-11-01 10:29:44,510-INFO-点击按钮:submit
baiping-2021-11-01 10:29:44,661-INFO-切换frame:main
baiping-2021-11-01 10:29:49,762-INFO-获取页面文本内容:欢迎使用报价管理系统
baiping-2021-11-01 10:29:53,200-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-11-01 10:29:53,287-INFO-输入用户名:admin
baiping-2021-11-01 10:29:53,288-INFO-输入内容:admin
baiping-2021-11-01 10:29:53,357-INFO-输入密码:123456
baiping-2021-11-01 10:29:53,357-INFO-输入内容:123456
baiping-2021-11-01 10:29:53,416-INFO-提交
baiping-2021-11-01 10:29:53,417-INFO-点击按钮:submit
baiping-2021-11-01 10:29:53,518-INFO-获取页面文本内容:请勿非法登录！
baiping-2021-11-01 10:29:56,921-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-11-01 10:29:57,026-INFO-输入用户名:admin
baiping-2021-11-01 10:29:57,027-INFO-输入内容:admin
baiping-2021-11-01 10:29:57,096-INFO-输入密码:admin
baiping-2021-11-01 10:29:57,097-INFO-输入内容:admin
baiping-2021-11-01 10:29:57,152-INFO-提交
baiping-2021-11-01 10:29:57,152-INFO-点击按钮:submit
baiping-2021-11-01 10:29:57,275-INFO-切换frame:Links
baiping-2021-11-01 10:30:02,369-INFO-点击按钮://*[@id="Bar_panel0_b0"]/img
baiping-2021-11-01 10:30:02,459-INFO-切换frame:main
baiping-2021-11-01 10:30:07,499-INFO-点击按钮:/html/body/center/table[2]/tbody/tr[2]/td[2]/a
baiping-2021-11-01 10:30:07,635-INFO-切换窗体:新增客户信息
baiping-2021-11-01 10:30:07,720-INFO-输入内容:c004
baiping-2021-11-01 10:30:07,791-INFO-输入内容:mike
baiping-2021-11-01 10:30:07,852-INFO-输入内容:
baiping-2021-11-01 10:30:07,896-INFO-输入内容:
baiping-2021-11-01 10:30:07,943-INFO-输入内容:
baiping-2021-11-01 10:30:07,988-INFO-输入内容:
baiping-2021-11-01 10:30:08,034-INFO-点击按钮:saveButton
baiping-2021-11-01 10:30:08,155-INFO-获取页面文本内容:添加记录成功！
本窗口将在3秒后自动关闭
baiping-2021-11-01 10:30:08,156-INFO-切换窗体:报价管理系统
baiping-2021-11-01 10:30:08,171-INFO-切换frame:Links
