baiping-2021-10-28 15:12:56,795-INFO-打开浏览器
baiping-2021-10-28 15:43:13,336-INFO-输入内容:
baiping-2021-10-28 15:43:13,378-INFO-输入内容:
baiping-2021-10-28 15:43:13,417-INFO-输入内容:
baiping-2021-10-28 15:43:13,457-INFO-输入内容:
baiping-2021-10-28 15:43:13,494-INFO-点击按钮:saveButton
baiping-2021-10-28 15:43:13,615-INFO-获取页面文本内容:添加记录成功！
本窗口将在3秒后自动关闭
baiping-2021-10-28 15:43:13,616-INFO-切换窗体:报价管理系统
baiping-2021-10-28 15:43:13,653-INFO-切换frame:Links
baiping-2021-10-28 15:43:18,695-INFO-点击按钮://*[@id="Bar_panel0_b1"]/img
baiping-2021-10-28 15:43:18,758-INFO-切换frame:main
baiping-2021-10-28 15:43:23,815-INFO-输入内容:c004
baiping-2021-10-28 15:43:23,857-INFO-输入内容:
baiping-2021-10-28 15:43:23,897-INFO-输入内容:
baiping-2021-10-28 15:43:23,948-INFO-输入内容:
baiping-2021-10-28 15:43:24,000-INFO-输入内容:
baiping-2021-10-28 15:43:24,048-INFO-输入内容:
baiping-2021-10-28 15:43:24,089-INFO-点击按钮:/html/body/center/form/table[3]/tbody/tr/td/input
baiping-2021-10-28 15:43:24,279-INFO-获取页面文本内容:c004
baiping-2021-10-28 15:43:24,294-INFO-获取页面文本内容:mike
baiping-2021-10-28 15:43:24,311-INFO-获取页面文本内容:
baiping-2021-10-28 15:43:24,326-INFO-获取页面文本内容:
baiping-2021-10-28 15:43:24,341-INFO-获取页面文本内容:
baiping-2021-10-28 15:43:24,355-INFO-获取页面文本内容:
